borehole_id,model_column,x_demo_m,y_demo_m,ground_z_demo_m,observed_head_model_datum_m,observed_head_anonymized_m
BH01,zk101,-107.247,837.298,460.635,445.6,424.146
BH02,zk120,-79.056,786.162,460.024,428.52,407.066
BH03,zk102,-1.701,784.3,474.041,439.1,417.646
BH04,zk141,42.002,755.685,478.786,442.63,421.176
BH05,zk103,97.323,727.843,485.133,441.71,420.256
BH06,zk140,103.815,241.402,466.707,445.88,424.426
BH07,zk139,189.974,727.986,498.776,458.57,437.116
BH08,zk138,234.402,695.424,499.305,443.76,422.306
BH09,zk104,286.261,668.745,499.627,444.49,423.036
BH10,zk137,328.931,675.79,502.079,470.83,449.376
BH11,zk105,483.884,586.18,487.554,504.2,482.746
BH12,zk410,416.455,437.474,482.247,499.68,478.226
BH13,zk106,552.478,475.648,474.773,493.14,471.686
BH14,zk136,393.028,343.22,484.06,457.8,436.346
BH15,zk107,446.731,266.563,485.742,464.18,442.726
BH16,zk135,354.713,291.468,486.725,432.29,410.836
BH17,zk134,312.24,229.995,489.426,440.61,419.156
BH18,zk108,329.522,202.805,491.454,451.74,430.286
BH19,zk133,245.013,207.144,486.842,433.44,411.986
BH20,zk132,180.314,185.837,481.201,438.87,417.416
BH21,zk109,166.718,120.398,482.295,440.58,419.126
BH22,zk131,112.697,155.798,472.818,440.36,418.906
BH23,zk110,63.104,220.681,460.829,425.47,404.016
